Local time,Open,High,Low,Close,Volume
30.10.2018 21:05:00.000 GMT+0530,76.310,76.465,76.310,76.465,0.0408
30.10.2018 21:10:00.000 GMT+0530,76.470,76.475,76.335,76.425,0.04909999999999999
30.10.2018 21:15:00.000 GMT+0530,76.415,76.675,76.380,76.675,0.045
30.10.2018 21:20:00.000 GMT+0530,76.675,76.675,76.435,76.460,0.032900000000000006
30.10.2018 21:25:00.000 GMT+0530,76.465,76.495,76.355,76.390,0.0307
30.10.2018 21:30:00.000 GMT+0530,76.395,76.525,76.385,76.395,0.034
30.10.2018 21:35:00.000 GMT+0530,76.405,76.740,76.395,76.535,0.0537
30.10.2018 21:40:00.000 GMT+0530,76.535,76.595,76.375,76.435,0.0485
30.10.2018 21:45:00.000 GMT+0530,76.415,76.425,76.265,76.335,0.0528
30.10.2018 21:50:00.000 GMT+0530,76.340,76.355,75.995,76.115,0.0482
30.10.2018 21:55:00.000 GMT+0530,76.100,76.325,76.100,76.130,0.05979999999999999
30.10.2018 22:00:00.000 GMT+0530,76.130,76.150,75.790,75.895,0.0588
30.10.2018 22:05:00.000 GMT+0530,75.885,75.995,75.855,75.925,0.031900000000000005
30.10.2018 22:10:00.000 GMT+0530,75.920,76.035,75.920,76.035,0.027100000000000003
30.10.2018 22:15:00.000 GMT+0530,76.025,76.045,75.925,75.935,0.0251
30.10.2018 22:20:00.000 GMT+0530,75.935,75.955,75.835,75.925,0.036000000000000004
30.10.2018 22:25:00.000 GMT+0530,75.935,75.945,75.635,75.670,0.0346
30.10.2018 22:30:00.000 GMT+0530,75.665,75.665,75.520,75.635,0.0476
30.10.2018 22:35:00.000 GMT+0530,75.635,75.685,75.605,75.685,0.024200000000000003
30.10.2018 22:40:00.000 GMT+0530,75.675,75.715,75.485,75.505,0.0429
30.10.2018 22:45:00.000 GMT+0530,75.495,75.795,75.495,75.785,0.0436
30.10.2018 22:50:00.000 GMT+0530,75.790,75.965,75.785,75.870,0.0429
30.10.2018 22:55:00.000 GMT+0530,75.875,75.955,75.870,75.915,0.021700000000000004
30.10.2018 23:00:00.000 GMT+0530,75.900,76.020,75.870,75.985,0.0426
30.10.2018 23:05:00.000 GMT+0530,75.975,75.985,75.870,75.925,0.0289
30.10.2018 23:10:00.000 GMT+0530,75.935,76.055,75.935,76.025,0.028300000000000002
30.10.2018 23:15:00.000 GMT+0530,76.035,76.035,75.890,75.900,0.027700000000000002
30.10.2018 23:20:00.000 GMT+0530,75.905,75.975,75.830,75.855,0.0296
30.10.2018 23:25:00.000 GMT+0530,75.845,75.855,75.620,75.810,0.042499999999999996
30.10.2018 23:30:00.000 GMT+0530,75.775,75.845,75.620,75.735,0.0388
30.10.2018 23:35:00.000 GMT+0530,75.720,75.765,75.595,75.620,0.032299999999999995
30.10.2018 23:40:00.000 GMT+0530,75.625,75.685,75.565,75.615,0.0427
30.10.2018 23:45:00.000 GMT+0530,75.610,75.615,75.405,75.455,0.0555
